n_run;individual_gains
1;[98.80000000000001, 74.80000000000024, 91.60000000000008, 89.8000000000001, -16.999999999999744]
10;[-14.99999999999968, 61.000000000000334, 86.80000000000013, 100, 85.60000000000014]
2;[68.8000000000003, 86.80000000000013, 77.20000000000022, 89.2000000000001, 87.40000000000012]
3;[89.2000000000001, 94.60000000000005, 95.20000000000005, 89.2000000000001, 88.00000000000011]
4;[98.80000000000001, 78.4000000000002, 94.60000000000005, 55.00000000000032, 88.00000000000011]
5;[76.60000000000022, 88.00000000000011, 95.80000000000004, 67.6000000000003, 67.00000000000031]
6;[89.2000000000001, 73.00000000000026, 89.8000000000001, 93.40000000000006, 58.00000000000033]
7;[91.60000000000008, 92.20000000000007, 87.40000000000012, 90.40000000000009, 89.8000000000001]
8;[88.00000000000011, 90.40000000000009, 97.60000000000002, 87.40000000000012, 84.40000000000015]
9;[94.60000000000005, 82.00000000000017, 65.80000000000032, 93.40000000000006, 93.40000000000006]
