n_run;individual_gains
1;[92.20000000000007, 72.40000000000026, 82.00000000000017, 70.00000000000028, 76.00000000000023]
10;[80.20000000000019, 85.60000000000014, 85.00000000000014, 85.60000000000014, 86.20000000000013]
2;[82.60000000000016, 82.00000000000017, 85.60000000000014, 79.0000000000002, 85.60000000000014]
3;[56.800000000000324, 79.6000000000002, 5.00000000000032, 50.80000000000031, 79.6000000000002]
4;[61.600000000000335, 91.00000000000009, 76.00000000000023, 81.40000000000018, 43.80000000000032]
5;[86.20000000000013, 58.00000000000033, 91.60000000000008, 86.20000000000013, 29.20000000000026]
6;[88.60000000000011, 85.00000000000014, 82.00000000000017, 88.00000000000011, 74.20000000000024]
7;[72.40000000000026, 88.60000000000011, 77.20000000000022, 86.20000000000013, 68.2000000000003]
8;[89.2000000000001, 79.6000000000002, 82.60000000000016, 91.00000000000009, 4.800000000000228]
9;[-21.79999999999972, -0.3999999999997641, -11.599999999999767, 70.00000000000028, 79.6000000000002]
