n_run;individual_gains
1;[91.00000000000009, 91.60000000000008, 71.80000000000027, 69.40000000000029, 91.00000000000009]
10;[-69.59999999999974, 85.60000000000014, 64.00000000000034, -64.79999999999973, 90.40000000000009]
2;[84.40000000000015, 92.80000000000007, 86.80000000000013, 89.2000000000001, -30.0]
3;[-39.19999999999969, -28.399999999999736, 61.600000000000335, -43.199999999999676, 67.00000000000031]
4;[82.00000000000017, 77.20000000000022, 91.60000000000008, 85.00000000000014, 82.00000000000017]
5;[87.40000000000012, 82.00000000000017, 85.00000000000014, 91.00000000000009, 88.60000000000011]
6;[94.00000000000006, 86.80000000000013, 98.80000000000001, 94.00000000000006, 88.60000000000011]
7;[91.60000000000008, 91.00000000000009, 77.80000000000021, 95.80000000000004, 85.00000000000014]
8;[94.00000000000006, 90.40000000000009, 88.00000000000011, 98.80000000000001, 85.60000000000014]
9;[99.4, 81.40000000000018, 83.20000000000016, 67.00000000000031, 70.00000000000028]
